#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
5947,13.000,5.430,74.34
5998,13.000,5.475,74.35
6049,13.000,5.418,76.96
6100,13.000,5.374,77.16
6152,13.000,5.354,76.86
6203,13.000,5.391,75.35
6254,13.000,5.452,74.25
6305,13.000,5.435,75.99
6356,13.000,5.382,77.23
6408,13.000,5.392,75.90
6459,13.000,5.358,77.09
6510,13.000,5.449,73.68
6561,13.000,5.456,75.30
6612,13.000,5.421,76.51
6664,13.000,5.420,75.82
6715,13.000,5.380,76.98
6766,13.000,5.440,74.40
6817,13.000,5.474,74.57
6868,13.000,5.438,76.36
6920,13.000,5.452,75.19
6971,13.000,5.323,79.34
7022,13.000,5.427,73.66
7073,13.000,5.421,75.90
7124,13.000,5.453,74.85
7176,13.000,5.450,75.54
7227,13.000,5.344,78.69
7278,13.000,5.396,74.99
7329,13.000,5.408,75.67
7380,13.000,5.457,74.47
7432,13.000,5.467,75.12
7483,13.000,5.378,78.00
7534,13.000,5.438,74.42
7585,13.000,5.377,77.45
7636,13.000,5.436,74.46
7688,13.000,5.470,74.62
7739,13.000,5.399,77.42
7790,13.000,5.378,76.66
7841,13.000,5.379,76.18
7892,13.000,5.402,75.52
7944,13.000,5.455,74.41
7995,13.000,5.423,76.41
8046,13.000,5.450,74.95
8097,13.000,5.322,79.34
8148,13.000,5.395,74.59
8200,13.000,5.436,74.83
8251,13.000,5.459,74.95
8302,13.000,5.455,75.54
8353,13.000,5.342,78.84
8404,13.000,5.388,75.18
8456,13.000,5.417,75.27
8507,13.000,5.468,74.30
8558,13.000,5.461,75.52
8609,13.000,5.363,78.32
8660,13.000,5.389,75.60
8712,13.000,5.417,75.26
8763,13.000,5.436,75.27
8814,13.000,5.473,74.53
8865,13.000,5.398,77.54
8916,13.000,5.415,75.50
8968,13.000,5.359,77.54
9019,13.000,5.430,74.26
9070,13.000,5.477,74.31
9121,13.000,5.417,77.03
9172,13.000,5.382,76.88
9224,13.000,5.389,75.98
9275,13.000,5.397,75.87
9326,13.000,5.462,74.08
9377,13.000,5.730,67.35
9428,13.000,7.046,33.22
9480,13.000,8.948,2.46
9531,13.000,10.305,0.35
9582,13.000,12.468,-37.31
9633,13.000,14.529,-56.16
9684,13.000,16.070,-61.79
9736,13.000,17.043,-59.89
9787,13.000,19.183,-104.64
9838,13.000,19.762,-79.19
9889,13.000,21.307,-113.97
9940,13.000,22.211,-110.20
9992,13.000,21.303,-64.88
10043,13.000,21.499,-88.90
10094,13.000,22.086,-102.61
10145,13.000,22.583,-105.77
10196,13.000,22.815,-102.77
10248,13.000,22.271,-81.83
10299,13.000,20.941,-52.81
10350,13.000,20.370,-62.30
10401,13.000,20.644,-81.92
10452,13.000,19.426,-39.89
10504,13.000,18.464,-35.41
10555,13.000,17.362,-21.57
10606,13.000,14.853,31.26
10657,13.000,14.073,4.30
10708,13.000,13.012,20.50
10760,13.000,11.082,57.59
10811,13.000,9.568,65.08
10862,13.000,8.475,67.11
10913,13.000,7.485,74.96
10964,13.000,7.082,67.24
11016,13.000,7.004,61.53
11067,13.000,6.896,63.18
11118,13.000,7.169,52.87
11169,13.000,7.869,37.31
11220,13.000,8.665,27.41
11272,13.000,9.842,8.68
11323,13.000,11.270,-10.29
11374,13.000,12.204,-9.56
11425,13.000,13.044,-16.13
11476,13.000,14.532,-44.25
11528,13.000,15.159,-33.74
11579,13.000,16.791,-70.91
11630,13.000,17.305,-53.35
11681,13.000,17.470,-48.00
11732,13.000,17.889,-57.28
11784,13.000,18.557,-68.92
11835,13.000,19.238,-76.00
11886,13.000,19.834,-80.26
11937,13.000,19.777,-66.62
11988,13.000,18.916,-41.95
12040,13.000,18.654,-51.30
12091,13.000,18.802,-60.97
12142,13.000,18.675,-54.23
12193,13.000,18.325,-46.24
12244,13.000,18.302,-52.55
12296,13.000,16.865,-10.68
12347,13.000,16.672,-34.37
12398,13.000,16.429,-31.62
12449,13.000,15.098,3.03
12500,13.000,14.478,-5.29
12552,13.000,14.141,-7.80
12603,13.000,12.795,25.85
12654,13.000,12.069,20.93
12705,13.000,11.277,30.51
12756,13.000,10.189,47.87
12808,13.000,9.307,53.31
12859,13.000,9.115,42.19
12910,13.000,8.521,56.68
12961,13.000,8.629,41.54
13012,13.000,8.760,39.79
13064,13.000,8.849,39.74
13115,13.000,9.136,33.67
13166,13.000,9.876,17.82
13217,13.000,10.492,14.67
13268,13.000,11.387,0.46
13320,13.000,12.016,-0.34
13371,13.000,12.773,-10.41
13422,13.000,13.496,-17.06
13473,13.000,14.650,-37.54
13524,13.000,15.285,-33.98
13576,13.000,15.721,-34.89
13627,13.000,16.731,-57.22
13678,13.000,16.040,-16.89
13729,13.000,17.282,-67.68
13780,13.000,17.640,-53.55
13832,13.000,17.515,-42.66
13883,13.000,17.170,-34.78
13934,13.000,17.563,-53.49
13985,13.000,16.902,-26.58
14036,13.000,16.952,-42.10
14088,13.000,17.316,-50.43
14139,13.000,16.374,-15.58
14190,13.000,16.095,-26.66
14241,13.000,16.848,-55.60
14292,13.000,15.608,-3.85
14344,13.000,15.497,-25.85
14395,13.000,15.300,-22.59
14446,13.000,14.257,4.49
14497,13.000,13.875,-5.09
14548,13.000,13.921,-14.28
14600,13.000,13.000,14.28
14651,13.000,12.763,3.00
14702,13.000,12.288,12.65
14753,13.000,11.426,29.33
14804,13.000,10.936,27.20
14856,13.000,10.823,21.23
14907,13.000,10.528,28.31
14958,13.000,10.576,21.45
15009,13.000,10.261,32.42
15060,13.000,10.286,25.91
15112,13.000,10.583,17.97
15163,13.000,11.011,11.50
15214,13.000,11.434,7.66
15265,13.000,11.647,10.00
15316,13.000,12.489,-10.91
15368,13.000,12.368,9.70
15419,13.000,13.114,-15.11
15470,13.000,13.691,-17.67
15521,13.000,14.021,-16.22
15572,13.000,14.392,-21.03
15624,13.000,14.582,-19.61
15675,13.000,14.984,-28.29
15726,13.000,15.535,-37.25
15777,13.000,15.836,-35.87
15828,13.000,15.873,-31.51
15880,13.000,15.561,-21.92
15931,13.000,16.441,-55.27
15982,13.000,15.707,-16.18
16033,13.000,15.941,-38.45
16084,13.000,15.646,-25.47
16136,13.000,15.111,-15.74
16187,13.000,14.927,-21.31
16238,13.000,15.090,-30.28
16289,13.000,14.849,-20.16
16340,13.000,14.734,-21.89
16392,13.000,14.631,-21.42
16443,13.000,13.928,-2.58
16494,13.000,13.537,-5.02
16545,13.000,13.343,-7.08
16596,13.000,13.011,-1.00
16648,13.000,12.525,7.01
16699,13.000,12.011,12.93
16750,13.000,11.428,20.46
16801,13.000,11.249,14.51
16852,13.000,11.305,9.60
16904,13.000,10.929,22.40
16955,13.000,10.600,25.24
17006,13.000,10.698,16.15
17057,13.000,10.335,29.58
17108,13.000,10.648,13.37
17160,13.000,10.691,18.80
17211,13.000,10.895,13.99
17262,13.000,10.857,19.61
17313,13.000,11.421,2.25
17364,13.000,11.491,11.75
17416,13.000,12.052,-3.52
17467,13.000,12.344,-0.91
17518,13.000,12.328,5.53
17569,13.000,12.275,6.96
17620,13.000,13.159,-20.66
17672,13.000,13.240,-5.46
17723,13.000,13.513,-12.12
17774,13.000,13.572,-8.55
17825,13.000,14.023,-21.12
17876,13.000,13.763,-4.43
17928,13.000,14.442,-30.31
17979,13.000,14.354,-14.35
18030,13.000,14.035,-6.73
18081,13.000,13.776,-5.51
18132,13.000,13.423,-0.18
18184,13.000,13.613,-13.08
18235,13.000,13.789,-14.69
18286,13.000,13.679,-8.02
18337,13.000,13.250,2.60
18388,13.000,12.951,3.01
18440,13.000,12.978,-3.79
18491,13.000,12.902,-0.95
18542,13.000,12.974,-4.62
18593,13.000,12.789,2.43
