#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
53716,10.000,23.044,-148.01
53768,10.000,23.583,-146.62
53819,10.000,23.366,-129.31
53870,10.000,23.385,-134.24
53921,10.000,22.510,-107.61
53972,10.000,22.881,-136.22
54024,10.000,23.366,-143.36
54075,10.000,24.240,-159.88
54126,10.000,24.272,-143.35
54177,10.000,23.054,-106.19
54228,10.000,23.218,-135.46
54280,10.000,24.085,-158.17
54331,10.000,23.367,-119.31
54382,10.000,23.738,-144.81
54433,10.000,24.345,-155.59
54484,10.000,22.853,-98.70
54536,10.000,23.157,-137.64
54587,10.000,23.714,-148.27
54638,10.000,24.110,-149.04
54689,10.000,22.669,-97.85
54740,10.000,23.911,-163.96
54792,10.000,23.509,-127.04
54843,10.000,23.265,-127.76
54894,10.000,23.354,-135.34
54945,10.000,23.277,-131.21
54996,10.000,23.201,-130.50
55048,10.000,22.236,-103.05
55099,10.000,24.042,-176.54
55150,10.000,24.009,-139.43
55201,10.000,23.021,-110.46
55252,10.000,24.362,-170.44
55304,10.000,22.058,-74.50
55355,10.000,22.371,-129.98
55406,10.000,24.322,-182.23
55457,10.000,23.303,-112.64
55508,10.000,22.938,-122.09
55560,10.000,22.254,-108.85
55611,10.000,23.992,-174.69
55662,10.000,23.534,-126.17
55713,10.000,24.044,-150.64
55764,10.000,23.030,-110.03
55816,10.000,23.305,-138.54
55867,10.000,22.899,-120.88
55918,10.000,24.120,-165.61
55969,10.000,23.011,-107.93
56020,10.000,23.237,-136.89
56072,10.000,22.726,-117.04
56123,10.000,23.296,-144.36
56174,10.000,22.452,-107.64
56225,10.000,22.867,-136.98
56276,10.000,23.344,-142.96
56328,10.000,22.855,-118.78
56379,10.000,22.412,-115.26
56430,10.000,23.502,-156.81
56481,10.000,22.494,-104.80
56532,10.000,23.086,-142.68
56584,10.000,22.333,-108.28
56635,10.000,21.398,-95.26
56686,10.000,19.626,-60.84
56737,10.000,18.488,-62.11
56788,10.000,17.504,-55.37
56840,10.000,15.619,-18.48
56891,10.000,13.687,1.02
56942,10.000,11.824,17.93
56993,10.000,9.515,50.03
57044,10.000,7.621,61.14
57096,10.000,5.811,78.09
57147,10.000,5.324,56.48
57198,10.000,5.929,28.62
57249,10.000,6.460,25.48
57300,10.000,7.318,10.91
57352,10.000,8.326,-1.84
57403,10.000,9.243,-9.03
57454,10.000,10.032,-14.39
57505,10.000,10.754,-20.40
57556,10.000,11.816,-38.19
57608,10.000,12.176,-28.17
57659,10.000,13.096,-49.22
57710,10.000,13.381,-40.03
57761,10.000,13.412,-35.95
57812,10.000,13.404,-35.74
57864,10.000,13.350,-34.97
57915,10.000,13.423,-38.94
57966,10.000,13.496,-40.37
58017,10.000,12.769,-17.62
58068,10.000,12.619,-28.21
58120,10.000,11.700,-3.97
58171,10.000,11.089,-4.23
58222,10.000,10.631,-2.87
58273,10.000,9.773,13.77
58324,10.000,9.132,16.03
58376,10.000,8.537,21.35
58427,10.000,7.880,29.58
58478,10.000,7.757,20.57
58529,10.000,7.413,28.94
58580,10.000,7.267,27.00
58632,10.000,7.350,22.11
58683,10.000,7.444,21.47
58734,10.000,7.762,14.25
58785,10.000,8.295,4.97
58836,10.000,8.765,1.77
58888,10.000,9.455,-9.42
58939,10.000,9.764,-4.84
58990,10.000,10.463,-19.71
59041,10.000,11.013,-22.44
59092,10.000,11.521,-26.99
59144,10.000,11.857,-27.26
59195,10.000,12.259,-33.09
59246,10.000,12.175,-22.94
59297,10.000,12.354,-30.48
59348,10.000,12.453,-30.35
59400,10.000,12.047,-16.58
59451,10.000,11.909,-20.97
59502,10.000,11.809,-21.09
59553,10.000,11.239,-6.23
59604,10.000,11.205,-16.84
59656,10.000,10.538,2.38
59707,10.000,10.242,-2.13
59758,10.000,9.743,6.97
59809,10.000,9.410,7.08
59860,10.000,9.256,5.21
59912,10.000,8.988,10.36
59963,10.000,8.747,12.50
60014,10.000,8.632,11.39
60065,10.000,8.454,14.74
