#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
22382,10.000,23.620,-130.84
22433,10.000,22.838,-112.72
22484,10.000,23.380,-144.65
22536,10.000,23.903,-149.49
22587,10.000,24.221,-148.56
22638,10.000,23.542,-121.86
22689,10.000,23.095,-121.99
22740,10.000,24.398,-170.05
22792,10.000,23.723,-123.74
22843,10.000,24.001,-145.58
22894,10.000,23.743,-132.25
22945,10.000,23.466,-129.14
22996,10.000,22.808,-114.92
23048,10.000,23.401,-145.87
23099,10.000,24.278,-160.31
23150,10.000,23.867,-130.45
23201,10.000,23.389,-124.32
23252,10.000,23.171,-127.35
23304,10.000,24.190,-162.29
23355,10.000,23.709,-127.45
23406,10.000,24.204,-151.94
23457,10.000,24.286,-144.52
23508,10.000,23.154,-108.89
23560,10.000,23.056,-128.60
23611,10.000,23.983,-158.38
23662,10.000,23.184,-115.85
23713,10.000,23.866,-152.32
23764,10.000,23.433,-125.67
23816,10.000,23.567,-138.34
23867,10.000,23.331,-128.59
23918,10.000,23.850,-148.90
23969,10.000,24.240,-150.19
24020,10.000,23.625,-123.94
24072,10.000,23.053,-119.09
24123,10.000,23.115,-132.39
24174,10.000,24.086,-160.30
24225,10.000,24.033,-139.26
24276,10.000,22.896,-106.22
24328,10.000,24.417,-174.59
24379,10.000,22.807,-95.86
24430,10.000,23.390,-145.58
24481,10.000,24.281,-160.63
24532,10.000,24.229,-141.24
24584,10.000,23.506,-120.60
24635,10.000,23.311,-129.22
24686,10.000,23.583,-141.27
24737,10.000,23.222,-125.01
24788,10.000,24.038,-156.69
24840,10.000,24.335,-149.29
24891,10.000,23.205,-109.45
24942,10.000,22.988,-125.53
24993,10.000,23.561,-147.08
25044,10.000,24.183,-154.28
25096,10.000,23.013,-106.73
25147,10.000,23.357,-140.45
25198,10.000,24.481,-167.27
25249,10.000,21.559,-57.14
25300,10.000,21.394,-110.66
25352,10.000,21.700,-123.11
25403,10.000,20.655,-85.67
25454,10.000,18.937,-55.02
25505,10.000,17.769,-54.33
25556,10.000,17.420,-67.21
25608,10.000,15.258,-9.33
25659,10.000,13.722,-6.50
25710,10.000,11.574,27.23
25761,10.000,9.629,42.61
25812,10.000,7.239,75.40
25864,10.000,5.568,77.73
25915,10.000,5.631,42.44
25966,10.000,5.562,45.77
26017,10.000,5.642,41.96
26068,10.000,5.818,38.31
26120,10.000,5.832,41.41
26171,10.000,5.987,37.03
26222,10.000,6.279,31.37
26273,10.000,6.400,33.57
26324,10.000,6.691,27.28
26376,10.000,7.184,18.30
26427,10.000,7.644,14.35
26478,10.000,8.197,6.97
26529,10.000,8.739,1.76
26580,10.000,9.087,2.17
26632,10.000,9.545,-4.59
26683,10.000,10.424,-21.82
26734,10.000,11.016,-22.00
26785,10.000,11.893,-36.47
26836,10.000,12.267,-30.15
26888,10.000,13.036,-45.75
26939,10.000,13.324,-39.00
26990,10.000,14.154,-58.15
27041,10.000,14.651,-56.43
27092,10.000,14.386,-38.56
27144,10.000,14.495,-47.12
27195,10.000,14.481,-44.55
27246,10.000,14.541,-46.60
27297,10.000,14.726,-50.95
27348,10.000,14.189,-31.15
27400,10.000,13.328,-16.07
27451,10.000,12.808,-17.67
27502,10.000,12.429,-16.70
27553,10.000,12.061,-13.27
27604,10.000,11.938,-16.92
27656,10.000,11.399,-3.20
27707,10.000,11.150,-6.52
27758,10.000,10.635,3.94
27809,10.000,10.627,-6.10
27860,10.000,10.575,-4.72
27912,10.000,10.370,0.40
27963,10.000,10.419,-5.15
28014,10.000,10.657,-11.34
28065,10.000,10.594,-4.67
28116,10.000,11.019,-18.69
28168,10.000,11.058,-11.37
28219,10.000,11.128,-12.69
28270,10.000,11.630,-26.34
28321,10.000,12.016,-27.87
28372,10.000,12.527,-35.49
28424,10.000,12.922,-37.13
28475,10.000,13.253,-39.14
28526,10.000,13.528,-40.78
28577,10.000,13.192,-25.19
28628,10.000,13.396,-38.03
28680,10.000,13.526,-37.86
28731,10.000,13.503,-34.58
28782,10.000,13.233,-26.91
28833,10.000,12.820,-19.96
28884,10.000,12.928,-31.45
28936,10.000,12.668,-21.48
28987,10.000,12.626,-25.41
29038,10.000,12.730,-29.37
29089,10.000,12.241,-12.63
29140,10.000,12.398,-27.13
29192,10.000,12.495,-26.89
29243,10.000,12.642,-29.37
29294,10.000,12.524,-22.89
29345,10.000,12.356,-20.18
29396,10.000,12.503,-27.98
29448,10.000,12.741,-32.18
29499,10.000,13.188,-40.82
29550,10.000,13.241,-33.47
29601,10.000,13.303,-34.26
29652,10.000,12.758,-16.70
29704,10.000,13.065,-36.77
29755,10.000,12.856,-24.40
29806,10.000,12.923,-30.57
29857,10.000,13.015,-31.97
29908,10.000,12.631,-18.64
29960,10.000,12.603,-25.47
30011,10.000,12.708,-29.16
30062,10.000,12.969,-34.92
30113,10.000,12.801,-24.64
30164,10.000,12.634,-23.02
30216,10.000,13.000,-37.32
30267,10.000,12.808,-24.23
30318,10.000,13.023,-34.54
30369,10.000,12.884,-26.05
30420,10.000,12.816,-26.81
