#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
46241,10.000,24.111,-141.11
46292,10.000,23.386,-133.86
46344,10.000,22.965,-129.65
46395,10.000,24.245,-142.45
46446,10.000,23.687,-136.87
46497,10.000,24.191,-141.91
46548,10.000,24.340,-143.40
46600,10.000,23.257,-132.57
46651,10.000,23.008,-130.08
46702,10.000,23.813,-138.13
46753,10.000,24.077,-140.77
46804,10.000,23.856,-138.56
46856,10.000,23.424,-134.24
46907,10.000,23.762,-137.62
46958,10.000,23.494,-134.94
47009,10.000,23.862,-138.62
47060,10.000,24.049,-140.49
47112,10.000,24.320,-143.20
47163,10.000,23.032,-130.32
47214,10.000,23.108,-131.08
47265,10.000,24.380,-143.80
47316,10.000,24.063,-140.63
47368,10.000,23.726,-137.26
47419,10.000,23.318,-133.18
47470,10.000,23.551,-135.51
47521,10.000,23.397,-133.97
47572,10.000,23.902,-139.02
47624,10.000,24.037,-140.37
47675,10.000,23.581,-135.81
47726,10.000,23.069,-130.69
47777,10.000,23.491,-134.91
47828,10.000,24.296,-142.96
47880,10.000,24.195,-141.95
47931,10.000,23.730,-137.30
47982,10.000,24.038,-140.38
48033,10.000,23.679,-136.79
48084,10.000,23.542,-135.42
48136,10.000,24.212,-142.12
48187,10.000,24.247,-142.47
48238,10.000,22.500,-125.00
48289,10.000,22.116,-121.16
48340,10.000,21.841,-118.41
48392,10.000,21.350,-113.50
48443,10.000,20.984,-109.84
48494,10.000,19.701,-97.01
48545,10.000,17.899,-78.99
48596,10.000,16.890,-68.90
48648,10.000,16.047,-60.47
48699,10.000,13.965,-39.65
48750,10.000,11.733,-17.33
48801,10.000,9.436,5.64
48852,10.000,7.510,24.90
48904,10.000,5.488,45.12
48955,10.000,5.591,44.09
49006,10.000,5.720,42.80
49057,10.000,5.438,45.62
49108,10.000,5.601,43.99
49160,10.000,5.774,42.26
49211,10.000,5.893,41.07
49262,10.000,6.154,38.46
49313,10.000,6.392,36.08
49364,10.000,6.585,34.15
49416,10.000,6.980,30.20
49467,10.000,7.466,25.34
49518,10.000,8.088,19.12
49569,10.000,8.696,13.04
49620,10.000,9.338,6.62
49672,10.000,9.758,2.42
49723,10.000,10.643,-6.43
49774,10.000,11.714,-17.14
49825,10.000,12.449,-24.49
49876,10.000,13.297,-32.97
49928,10.000,13.840,-38.40
49979,10.000,14.269,-42.69
50030,10.0,15.169,-51.69
50081,10.000,16.235,-62.35
50132,10.000,16.442,-64.42
50184,10.000,16.650,-66.50
50235,10.000,16.818,-68.18
50286,10.000,16.871,-68.71
50337,10.000,16.371,-63.71
50388,10.000,16.170,-61.70
50440,10.000,15.532,-55.32
50491,10.000,14.371,-43.71
50542,10.000,13.709,-37.09
50593,10.000,13.312,-33.12
50644,10.000,12.516,-25.16
50696,10.000,11.540,-15.40
50747,10.000,10.641,-6.41
50798,10.000,9.531,4.69
50849,10.000,8.672,13.28
50900,10.000,7.866,21.34
50952,10.000,7.035,29.65
51003,10.000,6.164,38.36
51054,10.000,5.437,45.63
51105,10.000,5.581,44.19
51156,10.000,5.578,44.22
51208,10.000,5.899,41.01
51259,10.000,6.212,37.88
51310,10.000,6.471,35.29
51361,10.000,6.826,31.74
51412,10.000,7.533,24.67
51464,10.000,7.996,20.04
51515,10.000,8.699,13.01
51566,10.000,9.343,6.57
51617,10.000,9.834,1.66
51668,10.000,10.815,-8.15
51720,10.000,11.766,-17.66
51771,10.000,12.878,-28.78
51822,10.000,13.389,-33.89
51873,10.000,14.078,-40.78
51924,10.000,14.904,-49.04
51976,10.000,15.519,-55.19
52027,10.000,16.560,-65.60
52078,10.000,17.101,-71.01
52129,10.000,16.608,-66.08
52180,10.000,16.406,-64.06
52232,10.000,17.154,-71.54
52283,10.000,16.360,-63.60
52334,10.000,16.168,-61.68
52385,10.000,15.206,-52.06
52436,10.000,14.826,-48.26
52488,10.000,13.708,-37.08
52539,10.000,12.928,-29.28
52590,10.000,12.153,-21.53
52641,10.000,10.981,-9.81
52692,10.000,10.014,-0.14
52744,10.000,9.148,8.52
52795,10.000,8.245,17.55
52846,10.000,7.403,25.97
52897,10.000,6.397,36.03
52948,10.000,5.615,43.85
53000,10.000,5.445,45.55
53051,10.000,5.588,44.12
53102,10.000,5.755,42.45
53153,10.000,6.071,39.29
53204,10.000,6.350,36.50
53256,10.000,6.755,32.45
