#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,
#!,For more information visit http://aka.ms/hackingstem/,,
43016,13,24.014,-113.97
43067,13,24.305,-118.85
43118,13,22.963,-72.79
43169,13,23.18,-106.15
43220,13,23.867,-122.39
43272,13,23.953,-111.25
43323,13,22.796,-74.82
43374,13,22.41,-86.37
43425,13,24.164,-146.72
43476,13,23.279,-85.1
43528,13,23.308,-103.66
43579,13,23.884,-120.35
43630,13,23.655,-101.98
43681,13,22.961,-85.72
43732,13,24.365,-141.72
43784,13,23.27,-80.81
43835,13,23.441,-107.83
43886,13,22.817,-85.69
43937,13,22.684,-94.2
43988,13,20.676,-36.59
44040,13,20.498,-71.43
44091,13,19.701,-51.06
44142,13,18.395,-27.84
44193,13,16.977,-12.21
44244,13,15.867,-7.82
44296,13,14.495,10.8
44347,13,12.494,43.54
44398,13,11.271,40.51
44449,13,9.566,67.9
44500,13,8.337,71.23
44552,13,7.567,69.74
44603,13,7.003,71.23
44654,13,6.817,65.56
44705,13,6.837,61.24
44756,13,7.14,52.52
44808,13,7.581,45.39
44859,13,8.29,32.9
44910,13,9.38,15.13
44961,13,10.814,-5.66
45012,13,11.984,-11.87
45064,13,13,-18.95
45115,13,14.562,-45.82
45166,13,15.695,-49.08
45217,13,17.039,-67.27
45268,13,17.685,-59.77
45320,13,18.16,-61.1
45371,13,18.068,-48.83
45422,13,18.46,-62.45
45473,13,19.034,-71.81
45524,13,18.793,-53.11
45576,13,19.028,-64.98
45627,13,18.268,-37.49
45678,13,17.759,-37.41
45729,13,17.453,-38.42
45780,13,17.06,-32.74
45832,13,15.929,-7.26
45883,13,14.973,-1.58
45934,13,13.633,19.35
45985,13,13.096,8.66
46036,13,12.025,30.25
46088,13,11.115,36.49
46139,13,10.676,31.91
46190,13,9.76,51.29
46241,13,9.672,36.27
46292,13,9.891,28.55
46344,13,9.946,31.89
46395,13,10.34,21.71
46446,13,10.849,14.74
46497,13,11.238,13.63
46548,13,12.296,-10.22
46600,13,13.312,-19.59
46651,13,14.45,-33.69
46702,13,14.846,-23.19
46753,13,15.149,-24.8
46804,13,16.157,-49.61
46856,13,16.405,-37.54
46907,13,16.963,-50.15
46958,13,17.135,-44.78
47009,13,17.572,-54.46
47060,13,16.878,-25.66
47112,13,16.775,-37.23
47163,13,16.607,-34.96
47214,13,15.631,-9.56
47265,13,14.979,-9.94
47316,13,14.533,-9.89
47368,13,13.547,10.65
47419,13,12.887,10.76
47470,13,12.354,13.69
47521,13,11.575,26.69
47572,13,10.482,44.39
47624,13,10.405,25.34
47675,13,10.078,34.23
47726,13,10.093,27.81
47777,13,10.723,9.65
47828,13,11.345,3.94
47880,13,11.622,8.34
47931,13,12.536,-13.44
47982,13,13.303,-18.26
48033,13,14.042,-25.26
48084,13,14.511,-24.88
48136,13,14.815,-24.96
48187,13,15.384,-36.44
48238,13,15.633,-33.07
48289,13,16.102,-42.77
48340,13,15.688,-21.5
48392,13,15.624,-28.39
48443,13,14.885,-7.87
48494,13,14.654,-16.06
48545,13,14.512,-16.72
48596,13,13.594,7.86
48648,13,13.118,3.75
48699,13,12.923,0.09
48750,13,11.93,26.23
48801,13,11.904,7.34
48852,13,11.61,15.92
48904,13,11.208,22.46
48955,13,10.876,24.81
49006,13,10.934,16.85
49057,13,10.79,22.75
49108,13,11.363,3.02
49160,13,11.646,6.27
49211,13,12.064,-0.45
49262,13,12.48,-4.44
49313,13,13.013,-12.13
49364,13,13.69,-21.89
49416,13,13.982,-17.33
49467,13,14.285,-20.84
49518,13,14.263,-14.35
49569,13,14.596,-25.11
49620,13,14.514,-16.29
49672,13,14.678,-23.2
49723,13,14.765,-22.88
49774,13,14.083,-0.9
49825,13,13.648,-1.61
